epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.1812,0.61243,13.7537,0.96592,0.00734,0.57576,0.09678,0.0678,0.73874,7.28782,1.17411,0.000233509,0.000233509,0.000233509
2,179.782,0.68287,14.0539,0.97052,0.79911,0.06061,0.05877,0.03716,1.12013,7.67088,1.39801,0.00042483,0.00042483,0.00042483
3,259.955,0.96036,12.4414,1.16662,0.83392,0.07124,0.11348,0.06764,1.25088,7.96624,1.67365,0.000569027,0.000569027,0.000569027
4,337.609,0.83461,12.1991,1.07957,0.73153,0.13131,0.05448,0.02651,1.40462,8.07335,1.90289,0.000501942,0.000501942,0.000501942
5,416.89,0.81221,12.223,1.06284,0.81336,0.08081,0.11389,0.08014,1.1856,7.75536,1.56299,0.000431256,0.000431256,0.000431256
6,494.099,0.76784,11.1911,1.12568,0.76852,0.08081,0.07978,0.05173,1.23479,7.82956,1.50099,0.00036057,0.00036057,0.00036057
7,576.01,0.79402,12.2126,1.08741,0.77813,0.13131,0.31129,0.22147,1.15672,7.34711,1.45232,0.000289884,0.000289884,0.000289884
8,653.174,0.81836,11.8494,1.04031,0.65085,0.39394,0.33627,0.25145,1.13485,7.04953,1.46001,0.000219198,0.000219198,0.000219198
9,754.717,0.62541,11.4086,0.98542,0.75458,0.41803,0.34925,0.25372,1.16575,6.54972,1.46684,0.000148512,0.000148512,0.000148512
10,917.632,0.6987,10.4666,1.04995,0.68727,0.39087,0.38038,0.24455,1.09262,7.20846,1.37857,7.7826e-05,7.7826e-05,7.7826e-05
